latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,temp_diff_ti4_ti5,log_frp,is_night,confidence_numeric,acq_hour,distance_to_plant_km,log_distance_to_plant,nearest_plant_name,nearest_plant_fuel,nearest_plant_capacity_mw,nearest_plant_status,distance_to_flare_km,log_distance_to_flare,nearest_flare_field,nearest_flare_operator,nearest_flare_level,nearest_flare_mean_vol,nearest_flare_active_years,distance_to_coal_mine_km,log_distance_to_coal_mine,nearest_mine_name,nearest_mine_type,nearest_mine_status,min_distance_to_industrial_km,log_min_industrial_distance,is_near_plant_3km,is_near_flare_3km,is_near_mine_5km,is_near_industrial_5km,lat_grid,lon_grid,spatial_persistence_count,weak_supervision_label,is_industrial_candidate,prob_industrial_radiometric,prob_industrial_fused,pred_class_fused,detailed_predicted_class
7.72003,80.84877,331.34,0.47,0.48,2026-08-31,828,N20,nominal,2.0NRT,300.43,3.48,D,30.909999999999968,1.4996230464268938,0,0.66,8,129.2156196054981,4.86919168882716,Sapugaskanda power station,fossil liquids: diesel,80.0,operating,277.5422500972299,5.62956975377581,Perungulam,Small,0.25373929725,1.014957189,0.0,448.57445087252216,6.108301470613651,Neyveli II Coal Mine,Surface,Operating,129.2156196054981,4.86919168882716,0,0,0,0,7.72,80.85,2,ACTIVE_WILDFIRE_OR_FOREST_FIRE,0,0.016209919,0.00028431133,FOREST_OR_NATURAL_FIRE,Active Wildfire / Forest Fire
7.71942,80.84451,336.88,0.47,0.48,2026-08-31,828,N20,nominal,2.0NRT,303.13,3.48,D,33.75,1.4996230464268938,0,0.66,8,128.8157976424664,4.866116504433303,Sapugaskanda power station,fossil liquids: diesel,80.0,operating,277.2278882956916,5.628440519956442,Perungulam,Small,0.25373929725,1.014957189,0.0,448.481947913173,6.108095692734087,Neyveli II Coal Mine,Surface,Operating,128.8157976424664,4.866116504433303,0,0,0,0,7.72,80.84,1,ACTIVE_WILDFIRE_OR_FOREST_FIRE,0,0.015976707,0.00028431133,FOREST_OR_NATURAL_FIRE,Active Wildfire / Forest Fire
7.72003,80.84563,347.33,0.47,0.48,2026-08-31,828,N20,nominal,2.0NRT,303.24,6.05,D,44.089999999999975,1.9530276168241771,0,0.66,8,128.95353264398912,4.867176945358167,Sapugaskanda power station,fossil liquids: diesel,80.0,operating,277.2781736307766,5.628621237970718,Perungulam,Small,0.25373929725,1.014957189,0.0,448.4590808956799,6.108044817277822,Neyveli II Coal Mine,Surface,Operating,128.95353264398912,4.867176945358167,0,0,0,0,7.72,80.85,2,ACTIVE_WILDFIRE_OR_FOREST_FIRE,0,0.013880764,0.00027991325,FOREST_OR_NATURAL_FIRE,Active Wildfire / Forest Fire
22.28691,56.52642,338.12,0.73,0.76,2026-08-31,833,N20,nominal,2.0NRT,307.79,4.07,D,30.329999999999984,1.623340817603092,0,0.66,8,105.285678011368,4.666130544486828,Saih Rawl power plant,fossil gas: natural gas,185.0,operating,0.4526661351889422,0.3734005819907422,Fahud,Small,3.361769737,3.361769737,0.0,914.3859228150228,6.819345749922383,Bab Nizou Coal Mine,Underground,Operating,0.4526661351889422,0.3734005819907422,0,1,0,1,22.29,56.53,4,PERSISTENT_FLARE_HOTSPOT,1,0.89566344,0.99881494,INDUSTRIAL_THERMAL_SOURCE,Gas Flare / Upstream Thermal Source
7.85724,81.08614,333.75,0.49,0.49,2026-08-31,828,N20,nominal,2.0NRT,302.89,1.9,D,30.860000000000014,1.0647107369924282,0,0.66,8,159.08603288635908,5.075711376261748,Sapugaskanda power station,fossil liquids: diesel,80.0,operating,289.0593080519085,5.670085412594916,Perungulam,Small,0.25373929725,1.014957189,0.0,443.9088284007195,6.097869381177083,Neyveli II Coal Mine,Surface,Operating,159.08603288635908,5.075711376261748,0,0,0,0,7.86,81.09,1,ACTIVE_WILDFIRE_OR_FOREST_FIRE,0,0.011522967,0.00028431133,FOREST_OR_NATURAL_FIRE,Active Wildfire / Forest Fire
7.73907,80.14016,333.41,0.43,0.46,2026-08-31,828,N20,nominal,2.0NRT,297.08,3.33,D,36.33000000000004,1.4655675420143983,0,0.66,8,85.85073364636479,4.46419093993255,Kerawalapitiya LNG power station,"fossil gas: LNG, fossil liquids: diesel",350.0,operating,221.938965017358,5.406898034523851,Perungulam,Small,0.25373929725,1.014957189,0.0,426.7140933066199,6.058454966073237,Neyveli II Coal Mine,Surface,Operating,85.85073364636479,4.46419093993255,0,0,0,0,7.74,80.14,2,ACTIVE_WILDFIRE_OR_FOREST_FIRE,0,0.015298859,0.00027550047,FOREST_OR_NATURAL_FIRE,Active Wildfire / Forest Fire
22.32884,56.49116,346.68,0.73,0.76,2026-08-31,833,N20,nominal,2.0NRT,307.73,7.54,D,38.94999999999999,2.1447610078004784,0,0.66,8,110.61577146281373,4.715062361313667,Saih Rawl power plant,fossil gas: natural gas,185.0,operating,0.1588009558773727,0.1473858117982658,Fahud,Small,3.357631,3.357631,0.0,909.7778112773076,6.814298972098044,Bab Nizou Coal Mine,Underground,Operating,0.1588009558773727,0.1473858117982658,0,1,0,1,22.33,56.49,23,PERSISTENT_FLARE_HOTSPOT,1,0.90504104,0.99872005,INDUSTRIAL_THERMAL_SOURCE,Gas Flare / Upstream Thermal Source
25.59085,72.62873,332.94,0.42,0.38,2026-08-31,833,N20,nominal,2.0NRT,297.48,2.74,D,35.45999999999998,1.3190856114264409,0,0.66,8,285.5915029284541,5.658057867112466,Ramgarh Combined Cycle power plant,"fossil gas: natural gas, fossil liquids: diesel",270.5,operating,85.25219658920545,4.457275523288105,Saraswati,Small,0.51833661725,1.614097297,0.0,134.4311222719803,4.908463188363952,Kapurdi Coal Mine,Surface,Operating,85.25219658920545,4.457275523288105,0,0,0,0,25.59,72.63,1,ACTIVE_WILDFIRE_OR_FOREST_FIRE,0,0.01231243,0.00027773264,FOREST_OR_NATURAL_FIRE,Active Wildfire / Forest Fire
7.74014,80.1397,332.59,0.43,0.46,2026-08-31,828,N20,nominal,2.0NRT,296.6,2.97,D,35.98999999999995,1.3787660946990992,0,0.66,8,85.94553290122902,4.465281863991498,Kerawalapitiya LNG power station,"fossil gas: LNG, fossil liquids: diesel",350.0,operating,221.81354695090192,5.406335309395453,Perungulam,Small,0.25373929725,1.014957189,0.0,426.5882366694594,6.058160668644929,Neyveli II Coal Mine,Surface,Operating,85.94553290122902,4.465281863991498,0,0,0,0,7.74,80.14,2,ACTIVE_WILDFIRE_OR_FOREST_FIRE,0,0.016775664,0.00027550047,FOREST_OR_NATURAL_FIRE,Active Wildfire / Forest Fire
22.87486,55.9286,337.93,0.77,0.77,2026-08-31,833,N20,low,2.0NRT,309.25,1.09,D,28.680000000000007,0.7371640659767197,0,0.33,8,54.06909509995207,4.008588671324461,Lekhwair power station,fossil gas: natural gas,110.0,operating,0.4181028903691068,0.349319985681455,Wadi Latham,Small,49.78532977,49.78532977,0.0,851.9342894192825,6.7486825098459065,Bab Nizou Coal Mine,Underground,Operating,0.4181028903691068,0.349319985681455,0,1,0,1,22.87,55.93,2,PERSISTENT_FLARE_HOTSPOT,1,0.6574342,0.99883324,INDUSTRIAL_THERMAL_SOURCE,Gas Flare / Upstream Thermal Source
